Province,District,Name,Party,,,,Year,First,Last
Marikina ,1st ,Bayani Fernando ,NPC ,1,Majority ,,17,Bayani,Fernando
Marikina ,2nd ,Miro Quimbo ,Liberal ,3,Independent minority ,,17,Miro,Quimbo
Marinduque ,Lone ,Lord Allan Jay Velasco ,PDP-Laban ,1,Majority ,,17,Lord,Velasco
Masbate ,1st ,Maria Vida Espinosa-Bravo ,NUP ,2,Majority ,,17,Maria,Espinosa-Bravo
Masbate ,2nd ,Elisa Olga Kho ,PDP-Laban ,2,Majority ,,17,Elisa,Kho
Masbate ,3rd ,Scott Davies Lanete ,NPC ,3,Majority ,,17,Scott,Lanete
Misamis Occidental ,1st ,Jorge Almonte ,Nacionalista ,3,Majority ,,17,Jorge,Almonte
Misamis Occidental ,2nd ,Henry Oaminal ,Nacionalista ,2,Majority ,,17,Henry,Oaminal
Misamis Oriental ,1st ,Peter Unabia[12] ,PDP-Laban ,3,Majority ,,17,Peter,Unabia
Misamis Oriental ,2nd ,Juliette Uy ,NUP ,2,Majority ,,17,Juliette,Uy
Mountain Province ,Lone ,Maximo Dalog4 ,Liberal ,3,Majority ,,17,Maximo,Dalog
Muntinlupa ,Lone ,Ruffy Biazon ,PDP-Laban ,1,Majority ,,17,Ruffy,Biazon
Navotas ,Lone ,Toby Tiangco ,Partido Navoteño ,3,Independent ,,17,Toby,Tiangco
Negros Occidental ,1st ,Melecio Yap ,NPC ,1,Majority ,,17,Melecio,Yap
Negros Occidental ,2nd ,Leo Rafael Cueva ,NUP/UNegA ,2,Majority ,,17,Leo,Cueva
Negros Occidental ,3rd ,Alfredo Benitez[16] ,PDP-Laban ,3,Majority ,,17,Alfredo,Benitez
Negros Occidental ,4th ,Juliet Marie Ferrer ,NUP/UNegA ,1,Majority ,,17,Juliet,Ferrer
Negros Occidental ,5th ,Alejandro Mirasol ,Lakas ,3,Majority ,,17,Alejandro,Mirasol
Negros Occidental ,6th ,Mercedes Alvarez ,NPC ,3,Majority ,,17,Mercedes,Alvarez
Negros Oriental ,1st ,Jocelyn Limkaichong ,Liberal ,1,Independent minority ,,17,Jocelyn,Limkaichong
Negros Oriental ,2nd ,Manuel Sagarbarria ,NPC ,1,Majority ,,17,Manuel,Sagarbarria
Negros Oriental ,3rd ,Arnulfo Teves[13] ,PDP-Laban ,1,Majority ,,17,Arnulfo,Teves
Northern Samar ,1st ,Raul Daza ,Liberal ,3,Independent minority ,,17,Raul,Daza
Northern Samar ,2nd ,Edwin Ongchuan ,NUP ,1,Majority ,,17,Edwin,Ongchuan
Nueva Ecija ,1st ,Estrelita Suansing[12] ,PDP-Laban ,2,Majority ,,17,Estrelita,Suansing
Nueva Ecija ,2nd ,Micaela Violago ,NUP ,1,Majority ,,17,Micaela,Violago
Nueva Ecija ,3rd ,Rosanna Vergara ,LDP ,1,Majority ,,17,Rosanna,Vergara
Nueva Ecija ,4th ,Magnolia Antonino-Nadres ,NUP ,2,Majority ,,17,Magnolia,Antonino-Nadres
Nueva Vizcaya ,Lone ,Luisa Lloren Cuaresma ,NUP ,1,Majority ,,17,Luisa,Cuaresma
Occidental Mindoro ,Lone ,Josephine Ramirez-Sato ,Liberal ,2,Independent minority ,,17,Josephine,Ramirez-Sato
Oriental Mindoro ,1st ,Paulino Salvador Leachon ,PDP-Laban ,2,Majority ,,17,Paulino,Leachon
Oriental Mindoro ,2nd ,Reynaldo Umali ,PFP ,3,Majority ,,17,Reynaldo,Umali
Palawan ,1st ,Franz Alvarez ,NUP/PPP ,2,Majority ,,17,Franz,Alvarez
Palawan ,2nd ,Frederick Abueg ,PDP-Laban/PPP ,2,Majority ,,17,Frederick,Abueg
Palawan ,3rd ,Gil Acosta ,NPC/PPP ,1,Majority ,,17,Gil,Acosta
Pampanga ,1st ,Carmelo Lazatin II ,PDP-Laban ,1,Majority ,,17,Carmelo,Lazatin
Pampanga ,2nd ,Gloria Macapagal-Arroyo ,PDP-Laban ,3,Majority ,,17,Gloria,Macapagal-Arroyo
Pampanga ,3rd ,Aurelio Gonzales Jr. ,PDP-Laban ,1,Majority ,,17,Aurelio,Gonzales
Pampanga ,4th ,Juan Pablo Bondoc ,PDP-Laban ,2,Majority ,,17,Juan,Bondoc
Pangasinan ,1st ,Jesus Celeste ,PDP-Laban ,3,Majority ,,17,Jesus,Celeste
Pangasinan ,2nd ,Leopoldo Bataoil ,NUP ,3,Majority ,,17,Leopoldo,Bataoil
Pangasinan ,3rd ,Rosemarie Arenas[10] ,PDP-Laban ,2,Majority ,,17,Rosemarie,Arenas
Pangasinan ,4th ,Christopher De Venecia ,Lakas ,1,Majority ,,17,Christopher,Venecia
Pangasinan ,5th ,Amado Espino Jr. ,PDP-Laban ,1,Majority ,,17,Amado,Espino
Pangasinan ,6th ,Marlyn Primicias-Agabas ,NPC ,3,Majority ,,17,Marlyn,Primicias-Agabas
Parañaque ,1st ,Eric Olivarez ,PDP-Laban ,2,Majority ,,17,Eric,Olivarez
Parañaque ,2nd ,Gustavo Tambunting ,PDP-Laban ,2,Majority ,,17,Gustavo,Tambunting
Pasay ,Lone ,Imelda Calixto-Rubiano ,PDP-Laban ,3,Majority ,,17,Imelda,Calixto-Rubiano
